EventID,Evaluation Status,Origin Date,Origin Time,Local Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Minimum Station Distance (km),Last Updated
texnet2023uxbe,final,2023-10-25,05:24:47,2.1,,31.7154,0.2,-104.0144,0.3,7.3,8.3,0.5,0.2,75,42,TXNet,earthquake,Western Texas,,,,,,,,,,63.346540200426,2.42714476402965,2023-10-25 14:15:55
texnet2023uvrr,final,2023-10-24,11:30:42,2.3,,31.7181,0.3,-103.9938,0.3,6.2,7.1,0.6,0.1,29,21,TXNet,earthquake,Western Texas,,,,,,,,,,21.0778742002815,3.8240653845302996,2023-10-24 12:28:54
texnet2023utlg,final,2023-10-23,05:58:40,2.1,,31.7122,0.3,-104.0098,0.3,6.6,7.5,0.5,0.1,29,20,TXNet,earthquake,Western Texas,,,,,,,,,,20.189141268691497,2.9804916057115496,2023-10-23 12:10:43
texnet2023usyg,final,2023-10-22,23:25:12,2.8,,31.7161,0.3,-104.0044,0.3,5.6,6.6,0.6,0.1,30,20,TXNet,earthquake,Western Texas,,,,,,,,,,20.7266061040605,3.06185631638985,2023-10-23 11:00:49
texnet2023usxs,final,2023-10-22,23:08:08,2.3,,31.7148,0.3,-104.0078,0.3,5.4,6.3,0.7,0.1,33,21,TXNet,earthquake,Western Texas,,,,,,,,,,22.3293988329615,2.90390644309185,2023-10-23 14:39:00
texnet2023usxi,final,2023-10-22,22:56:00,1.9,,31.7134,0.4,-104.0142,0.4,5.8,6.8,0.7,0.2,36,24,TXNet,earthquake,Western Texas,,,,,,,,,,23.254418529279,2.6075694318848996,2023-10-23 14:09:15
texnet2023uswy,final,2023-10-22,22:45:11,2.3,,31.7138,0.3,-104.0101,0.3,5.1,6.1,0.6,0.1,34,21,TXNet,earthquake,Western Texas,,,,,,,,,,22.5706502403585,2.8303424397265498,2023-10-23 17:33:02
texnet2023uswp,final,2023-10-22,22:38:02,2.2,,31.7135,0.3,-104.0083,0.3,5.7,6.7,0.6,0.1,31,23,TXNet,earthquake,Western Texas,,,,,,,,,,21.107966536188,2.9731215154913997,2023-10-23 18:30:09
texnet2023usgg,final,2023-10-22,14:19:33,2.2,,31.7159,0.3,-104.0044,0.3,5.9,6.8,0.6,0.1,33,20,TXNet,earthquake,Western Texas,,,,,,,,,,23.216288807501996,3.07707589628145,2023-10-23 12:45:40
texnet2023usbd,final,2023-10-22,11:44:23,2.1,,31.7221,0.3,-103.9993,0.3,6.0,7.0,0.5,0.1,21,15,TXNet,earthquake,Western Texas,,,,,,,,,,16.616094820479,3.16752811173855,2023-10-23 18:21:26
